,Student number,Age 18-25,Age 25-35,Age 35-45,Over 45 age,1-2 Hours,2-3 Hours,4-5 Hours,Marks achieved,Time taken
31,KKX-061-FT,24.0,0.0,0.0,0.0,1.42,0.0,0.0,75.38,85
32,DEL-439-HH,18.0,0.0,0.0,0.0,1.48,0.0,0.0,32.31,167
33,QAE-180-AY,0.0,32.0,0.0,0.0,1.32,0.0,0.0,86.15,39
34,CYG-061-QX,0.0,0.0,45.0,0.0,0.0,0.0,4.3,97.69,150
35,MAG-119-QP,0.0,0.0,0.0,52.0,0.0,2.73,0.0,0.0,158
36,AKG-248-WN,22.0,0.0,0.0,0.0,1.48,0.0,0.0,87.69,145
37,FDM-916-WO,0.0,0.0,0.0,54.0,0.0,0.0,4.2,33.08,18
38,TBK-882-WQ,0.0,0.0,39.0,0.0,1.75,0.0,0.0,97.69,92
39,RZU-291-AC,0.0,0.0,43.0,0.0,1.03,0.0,0.0,17.69,43
40,FRU-641-XO,20.0,0.0,0.0,0.0,0.0,0.0,4.43,100.0,83
41,EMF-408-OD,19.0,0.0,0.0,0.0,1.22,0.0,0.0,93.08,177
42,RGY-528-CK,0.0,30.0,0.0,0.0,0.0,0.0,4.03,75.38,41
43,LEK-126-DC,0.0,0.0,44.0,0.0,0.0,2.03,0.0,47.69,93
44,VVH-097-CB,25.0,0.0,0.0,0.0,0.0,2.47,0.0,94.62,174
45,DEI-176-BR,0.0,31.0,0.0,0.0,0.0,2.45,0.0,63.08,149
46,BRF-178-KQ,0.0,32.0,0.0,0.0,1.33,0.0,0.0,38.46,89
47,GYV-304-HW,0.0,0.0,39.0,0.0,1.67,0.0,0.0,10.77,73
48,OTQ-048-YV,0.0,0.0,44.0,0.0,1.32,0.0,0.0,31.54,28
49,CSO-893-QK,0.0,0.0,0.0,53.0,0.0,0.0,4.37,44.62,105
50,TMQ-948-OB,0.0,0.0,0.0,52.0,0.0,0.0,4.87,27.69,128
51,NLN-151-LB,19.0,0.0,0.0,0.0,0.0,2.88,0.0,7.69,63
52,BDR-745-IW,0.0,29.0,0.0,0.0,0.0,0.0,4.97,66.15,16
53,KHS-663-GO,0.0,0.0,0.0,50.0,1.53,0.0,0.0,33.08,106
54,XBP-067-DC,0.0,33.0,0.0,0.0,0.0,2.08,0.0,80.0,164
55,VUL-515-BO,0.0,0.0,0.0,59.0,0.0,0.0,4.4,8.46,94
56,KQR-532-MI,23.0,0.0,0.0,0.0,1.9,0.0,0.0,1.54,24
57,ZJZ-087-VU,18.0,0.0,0.0,0.0,2.0,0.0,0.0,39.23,116
58,NZT-623-FN,0.0,0.0,44.0,0.0,0.0,2.03,0.0,61.54,51
59,ALH-311-PF,0.0,0.0,42.0,0.0,0.0,0.0,4.82,24.62,136
60,MIR-172-OV,19.0,0.0,0.0,0.0,0.0,2.37,0.0,98.46,91
61,CCD-429-CX,22.0,0.0,0.0,0.0,0.0,2.13,0.0,29.23,93
62,TRP-385-IB,0.0,0.0,0.0,56.0,1.47,0.0,0.0,14.62,123
63,JEH-873-FO,21.0,0.0,0.0,0.0,0.0,0.0,4.97,32.31,87
64,MBZ-839-WV,18.0,0.0,0.0,0.0,0.0,0.0,4.62,88.46,160
65,RCZ-014-YR,21.0,0.0,0.0,0.0,1.13,0.0,0.0,59.23,147
66,GBA-442-OR,0.0,0.0,0.0,53.0,1.0,0.0,0.0,23.08,72
67,LKI-779-FJ,0.0,29.0,0.0,0.0,1.08,0.0,0.0,18.46,87
68,GYP-782-WE,24.0,0.0,0.0,0.0,0.0,0.0,5.0,96.15,13
69,BSJ-913-ZG,25.0,0.0,0.0,0.0,0.0,2.4,0.0,1.54,58
70,TBR-539-IN,0.0,0.0,41.0,0.0,0.0,0.0,4.9,2.31,81
71,ZRK-158-SI,0.0,0.0,0.0,45.0,1.07,0.0,0.0,72.31,120
72,BED-588-FI,25.0,0.0,0.0,0.0,0.0,2.43,0.0,82.31,116
73,XSZ-839-OV,18.0,0.0,0.0,0.0,0.0,2.4,0.0,10.0,64
74,JWS-697-ZF,0.0,0.0,0.0,45.0,0.0,2.53,0.0,86.15,164
75,WPB-975-YA,0.0,0.0,37.0,0.0,1.13,0.0,0.0,30.77,25
76,NZU-662-QA,0.0,26.0,0.0,0.0,1.52,0.0,0.0,55.38,32
77,OCA-969-WI,0.0,27.0,0.0,0.0,0.0,2.17,0.0,14.62,170
78,KLR-840-SW,0.0,32.0,0.0,0.0,2.0,0.0,0.0,73.08,14
79,VWM-849-XA,19.0,0.0,0.0,0.0,1.27,0.0,0.0,55.38,28
80,QYH-441-MH,0.0,0.0,0.0,55.0,1.83,0.0,0.0,51.54,20
81,BIX-020-AS,0.0,27.0,0.0,0.0,1.28,0.0,0.0,46.92,68
82,JCY-642-OI,0.0,0.0,40.0,0.0,1.15,0.0,0.0,10.77,22
83,DIA-950-XD,23.0,0.0,0.0,0.0,0.0,0.0,4.0,73.85,122
84,IAX-560-JO,0.0,27.0,0.0,0.0,0.0,2.67,0.0,3.08,83
85,GAT-212-WR,21.0,0.0,0.0,0.0,0.0,2.4,0.0,66.15,135
86,JQU-939-KR,0.0,31.0,0.0,0.0,0.0,2.25,0.0,93.08,61
87,GAS-004-HJ,0.0,24.0,0.0,0.0,0.0,2.52,0.0,83.85,141
88,QGU-184-WK,0.0,25.0,0.0,0.0,0.0,2.95,0.0,57.69,5
89,VTL-570-LE,19.0,0.0,0.0,0.0,0.0,2.33,0.0,12.31,0
90,HKH-974-VH,0.0,0.0,0.0,53.0,0.0,2.85,0.0,84.62,136
91,VSK-663-QZ,19.0,0.0,0.0,0.0,0.0,0.0,4.45,19.23,139
92,YCS-351-VV,25.0,0.0,0.0,0.0,1.55,0.0,0.0,93.08,4
93,BME-297-JW,18.0,0.0,0.0,0.0,1.05,0.0,0.0,90.77,167
94,HHP-261-ZN,25.0,0.0,0.0,0.0,0.0,0.0,4.95,90.0,92
95,NUD-936-ZM,0.0,0.0,36.0,0.0,0.0,2.92,0.0,63.85,173
96,EXB-113-RC,0.0,0.0,42.0,0.0,0.0,2.97,0.0,80.0,26
97,DFQ-620-QZ,20.0,0.0,0.0,0.0,0.0,0.0,4.68,93.08,74
98,CPT-666-KD,0.0,0.0,0.0,56.0,0.0,0.0,4.87,53.85,52
99,XPJ-761-SS,0.0,0.0,0.0,55.0,0.0,2.65,0.0,23.85,177
100,ASM-336-OA,0.0,28.0,0.0,0.0,0.0,2.78,0.0,10.0,51
101,VPO-976-HM,25.0,0.0,0.0,0.0,0.0,2.45,0.0,54.62,105
102,RHR-863-MQ,21.0,0.0,0.0,0.0,0.0,2.1,0.0,60.77,18
103,RAX-631-BJ,0.0,35.0,0.0,0.0,0.0,0.0,4.77,31.54,117
104,DQL-174-HP,20.0,0.0,0.0,0.0,0.0,0.0,4.93,13.85,34
105,TSZ-209-QU,25.0,0.0,0.0,0.0,1.45,0.0,0.0,30.77,51
106,SHD-501-ED,0.0,0.0,39.0,0.0,1.37,0.0,0.0,8.46,158
107,FMZ-653-DX,0.0,0.0,37.0,0.0,1.73,0.0,0.0,85.38,58
108,CIY-473-FQ,0.0,0.0,0.0,47.0,0.0,2.32,0.0,71.54,171
109,XVC-307-ND,0.0,26.0,0.0,0.0,1.32,0.0,0.0,99.23,55
110,PMJ-765-VF,18.0,0.0,0.0,0.0,0.0,2.93,0.0,90.77,18
111,EWB-427-MN,18.0,0.0,0.0,0.0,0.0,0.0,4.25,33.85,173
112,YNK-248-SZ,22.0,0.0,0.0,0.0,1.73,0.0,0.0,96.15,87
113,IWO-836-KC,0.0,29.0,0.0,0.0,1.37,0.0,0.0,18.46,70
114,AZT-440-FV,23.0,0.0,0.0,0.0,0.0,0.0,4.75,51.54,53
115,BAJ-417-ZL,0.0,0.0,0.0,50.0,0.0,0.0,4.35,2.31,48
116,FNA-979-CP,24.0,0.0,0.0,0.0,0.0,2.2,0.0,26.92,94
117,KXX-506-BJ,0.0,0.0,46.0,0.0,0.0,2.2,0.0,33.08,59
118,SLB-528-WZ,0.0,32.0,0.0,0.0,0.0,2.38,0.0,24.62,80
119,HWM-889-YT,0.0,28.0,0.0,0.0,0.0,2.65,0.0,8.46,154
120,EQY-027-ZM,0.0,0.0,41.0,0.0,0.0,0.0,4.0,80.0,124
121,EQG-819-QL,0.0,25.0,0.0,0.0,0.0,2.83,0.0,96.15,163
122,DUY-637-ZU,25.0,0.0,0.0,0.0,0.0,0.0,4.12,85.38,58
123,HHL-284-CK,0.0,0.0,41.0,0.0,0.0,0.0,4.58,1.54,177
124,DNX-930-FV,0.0,0.0,0.0,51.0,0.0,0.0,4.87,20.77,106
125,AZL-892-GJ,0.0,0.0,0.0,48.0,0.0,2.33,0.0,40.77,44
126,JLF-629-EY,0.0,0.0,0.0,48.0,1.82,0.0,0.0,39.23,13
127,WTB-466-RT,22.0,0.0,0.0,0.0,0.0,2.15,0.0,22.31,121
128,OVC-982-RG,19.0,0.0,0.0,0.0,1.38,0.0,0.0,51.54,70
129,XVH-760-FV,0.0,0.0,0.0,47.0,0.0,2.88,0.0,26.92,38
130,UPZ-341-EO,0.0,0.0,44.0,0.0,0.0,0.0,4.63,30.0,167
131,QTQ-236-RJ,0.0,0.0,0.0,54.0,0.0,2.07,0.0,56.15,136
132,NUU-958-OO,0.0,0.0,0.0,54.0,0.0,2.57,0.0,31.54,13
133,JWT-908-VC,0.0,34.0,0.0,0.0,0.0,2.53,0.0,35.38,135
134,ZYL-608-OW,0.0,0.0,0.0,59.0,0.0,0.0,4.0,83.08,22
135,ZBB-598-KH,0.0,0.0,0.0,48.0,0.0,2.45,0.0,2.31,79
136,HAR-722-FF,0.0,34.0,0.0,0.0,0.0,2.62,0.0,23.85,8
137,NBA-785-BK,0.0,0.0,0.0,57.0,0.0,2.12,0.0,6.92,6
138,SKR-283-HR,25.0,0.0,0.0,0.0,0.0,0.0,4.77,20.77,60
139,LZN-878-XR,18.0,0.0,0.0,0.0,0.0,2.68,0.0,46.92,144
140,APT-323-KN,0.0,0.0,0.0,60.0,0.0,2.65,0.0,65.38,56
141,KFG-147-WP,0.0,25.0,0.0,0.0,0.0,0.0,4.48,74.62,114
142,LHG-699-KX,0.0,0.0,36.0,0.0,0.0,0.0,4.55,33.85,151
143,HSH-724-HQ,0.0,25.0,0.0,0.0,0.0,0.0,4.33,26.15,24
144,ZXT-432-WN,25.0,0.0,0.0,0.0,1.53,0.0,0.0,67.69,4
145,EKI-707-SS,0.0,33.0,0.0,0.0,0.0,0.0,4.2,25.38,100
146,XQF-673-CK,0.0,0.0,43.0,0.0,0.0,0.0,4.62,27.69,49
147,CMN-103-SJ,0.0,0.0,44.0,0.0,0.0,2.23,0.0,0.0,87
148,ZUA-160-DU,0.0,0.0,39.0,0.0,0.0,2.95,0.0,26.15,30
149,FFI-741-IU,0.0,0.0,0.0,49.0,0.0,0.0,4.35,96.92,54
